rock,date_time,elapsed_date_time,temperature_in_C,temperature_out_C,temperature_diff_C,humidity_perc_RH
1,17/05/2025 1:00,13/01/2000 1:00,14.094,14,0.094,96.732
1,17/05/2025 2:00,13/01/2000 2:00,13.593,13.5,0.093,99.155
1,17/05/2025 3:00,13/01/2000 3:00,13.593,13.5,0.093,97.706
1,17/05/2025 4:00,13/01/2000 4:00,13.092,13,0.092,101.067
1,17/05/2025 5:00,13/01/2000 5:00,13.092,13,0.092,99.635
1,17/05/2025 6:00,13/01/2000 6:00,13.092,13,0.092,97.22
1,17/05/2025 7:00,13/01/2000 7:00,13.092,13,0.092,100.114
1,17/05/2025 8:00,13/01/2000 8:00,12.091,12.5,-0.409,102.484
1,17/05/2025 9:00,13/01/2000 9:00,12.591,12,0.591,102.484
1,17/05/2025 10:00,13/01/2000 10:00,13.593,12.5,1.093,101.067
1,17/05/2025 11:00,13/01/2000 11:00,14.094,14,0.094,100.114
1,17/05/2025 12:00,13/01/2000 12:00,15.095,14.5,0.595,94.766
1,17/05/2025 13:00,13/01/2000 13:00,15.095,15,0.095,93.275
1,17/05/2025 14:00,13/01/2000 14:00,15.596,15.5,0.096,82.459
1,17/05/2025 15:00,13/01/2000 15:00,15.596,16,-0.404,86.659
1,17/05/2025 16:00,13/01/2000 16:00,15.596,16,-0.404,85.095
1,17/05/2025 17:00,13/01/2000 17:00,15.095,15.5,-0.405,86.659
1,17/05/2025 18:00,13/01/2000 18:00,14.594,15,-0.406,90.761
1,17/05/2025 19:00,13/01/2000 19:00,14.094,14,0.094,92.776
1,17/05/2025 20:00,13/01/2000 20:00,13.593,14,-0.407,93.275
1,17/05/2025 21:00,13/01/2000 21:00,13.593,13.5,0.093,92.274
1,17/05/2025 22:00,13/01/2000 22:00,13.092,13,0.092,93.774
1,17/05/2025 23:00,13/01/2000 23:00,12.591,12.5,0.091,93.275
1,18/05/2025 0:00,14/01/2000 0:00,12.591,12,0.591,92.776
1,18/05/2025 1:00,14/01/2000 1:00,13.593,13,0.593,93.774
1,18/05/2025 2:00,14/01/2000 2:00,13.593,13.5,0.093,93.774
1,18/05/2025 3:00,14/01/2000 3:00,14.094,13.5,0.594,96.243
1,18/05/2025 4:00,14/01/2000 4:00,15.095,14,1.095,94.766
1,18/05/2025 5:00,14/01/2000 5:00,15.596,15,0.596,92.776
1,18/05/2025 6:00,14/01/2000 6:00,15.596,15.5,0.096,96.732
1,18/05/2025 7:00,14/01/2000 7:00,15.596,15,0.596,97.706
1,18/05/2025 8:00,14/01/2000 8:00,15.596,15,0.596,99.155
1,18/05/2025 9:00,14/01/2000 9:00,16.096,15.5,0.596,96.732
1,18/05/2025 10:00,14/01/2000 10:00,16.597,16,0.597,97.22
1,18/05/2025 11:00,14/01/2000 11:00,16.597,16.5,0.097,96.732
1,18/05/2025 12:00,14/01/2000 12:00,21.601,16,5.601,97.706
1,18/05/2025 13:00,14/01/2000 13:00,19.599,20.5,-0.901,94.766
1,18/05/2025 14:00,14/01/2000 14:00,19.599,19,0.599,91.771
1,18/05/2025 15:00,14/01/2000 15:00,19.599,19.5,0.099,90.254
1,18/05/2025 16:00,14/01/2000 16:00,19.599,19,0.599,88.208
1,18/05/2025 17:00,14/01/2000 17:00,19.099,19,0.099,86.139
1,18/05/2025 18:00,14/01/2000 18:00,20.1,19,1.1,85.618
1,18/05/2025 19:00,14/01/2000 19:00,21.1,20,1.1,82.989
1,18/05/2025 20:00,14/01/2000 20:00,21.601,20.5,1.101,82.989
1,18/05/2025 21:00,14/01/2000 21:00,22.101,21.5,0.601,81.394
1,18/05/2025 22:00,14/01/2000 22:00,22.101,21.5,0.601,79.246
1,18/05/2025 23:00,14/01/2000 23:00,22.101,22,0.101,79.785
1,19/05/2025 0:00,15/01/2000 0:00,21.601,21.5,0.101,78.705
1,19/05/2025 1:00,15/01/2000 1:00,21.1,21,0.1,78.162
1,19/05/2025 2:00,15/01/2000 2:00,20.6,20.5,0.1,78.162
1,19/05/2025 3:00,15/01/2000 3:00,20.1,20,0.1,78.162
1,19/05/2025 4:00,15/01/2000 4:00,19.599,19.5,0.099,78.162
1,19/05/2025 5:00,15/01/2000 5:00,19.099,19,0.099,78.162
1,19/05/2025 6:00,15/01/2000 6:00,18.599,18.5,0.099,78.162
1,19/05/2025 7:00,15/01/2000 7:00,18.098,18,0.098,78.162
1,19/05/2025 8:00,15/01/2000 8:00,18.098,17.5,0.598,77.618
1,19/05/2025 9:00,15/01/2000 9:00,15.596,17.5,-1.904,79.246
1,19/05/2025 10:00,15/01/2000 10:00,14.594,15,-0.406,80.859
1,19/05/2025 11:00,15/01/2000 11:00,15.095,14.5,0.595,81.394
1,19/05/2025 12:00,15/01/2000 12:00,15.596,15,0.596,81.394
1,19/05/2025 13:00,15/01/2000 13:00,16.096,15.5,0.596,81.927
1,19/05/2025 14:00,15/01/2000 14:00,16.096,15.5,0.596,81.394
1,19/05/2025 15:00,15/01/2000 15:00,17.097,15.5,1.597,82.989
1,19/05/2025 16:00,15/01/2000 16:00,21.1,17,4.1,79.246
1,19/05/2025 17:00,15/01/2000 17:00,15.095,19,-3.905,84.045
1,19/05/2025 18:00,15/01/2000 18:00,14.594,14.5,0.094,81.394
1,19/05/2025 19:00,15/01/2000 19:00,14.094,14,0.094,80.323
1,19/05/2025 20:00,15/01/2000 20:00,13.593,13.5,0.093,81.394
1,19/05/2025 21:00,15/01/2000 21:00,12.591,13,-0.409,80.859
1,19/05/2025 22:00,15/01/2000 22:00,11.59,11.5,0.09,81.394
1,19/05/2025 23:00,15/01/2000 23:00,11.089,11,0.089,82.989
1,20/05/2025 0:00,16/01/2000 0:00,10.588,10.5,0.088,82.989
1,20/05/2025 1:00,16/01/2000 1:00,10.087,10,0.087,82.989
