day,inside_mean,inside_median,inside_sem,inside_ci_lower_mean,inside_ci_upper_mean,inside_ci_lower_med,inside_ci_upper_med,outside_mean,outside_median,outside_sem,outside_ci_lower_mean,outside_ci_upper_mean,outside_ci_lower_med,outside_ci_upper_med,diff_mean,diff_median,diff_sem,diff_ci_lower_mean,diff_ci_upper_mean,diff_ci_lower_med,diff_ci_upper_med,hum_mean,hum_median,hum_sem,hum_ci_lower_mean,hum_ci_upper_mean,hum_ci_lower_med,hum_ci_upper_med,rock
25,9.291666666666666,7.75,0.835639923726484,7.7703125,10.896354166666667,6.0,11.012499999999989,9.479166666666666,6.75,1.215643492246615,7.416145833333334,11.877083333333331,5.5,11.0,-0.1875,0.5,0.7253263258599589,-1.8130208333333329,0.9796874999999995,0.0,1.25,,,,,,,,11
26,9.833333333333334,8.5,0.6754404538989985,8.603645833333333,11.125,7.5,12.0,9.729166666666666,7.75,0.9320088784539063,8.041666666666666,11.646354166666667,6.5,11.75,0.10416666666666667,1.0,0.5789007313549407,-1.0,1.125,0.0,1.0,,,,,,,,11
27,12.041666666666666,11.0,0.6947764906649306,10.729166666666666,13.416666666666666,9.5,13.75,12.416666666666666,10.0,1.0664798296513347,10.561979166666667,14.5625,8.5,14.256249999999994,-0.375,0.5,0.6191757611441244,-1.625,0.6875,0.0,1.0,,,,,,,,11
28,12.958333333333334,12.0,0.3957618165752442,12.25,13.791666666666666,12.0,13.5,13.083333333333334,11.75,0.5910463169602452,11.958333333333334,14.291666666666666,11.25,13.5,-0.125,0.5,0.39269830216304624,-0.9171874999999995,0.5625,0.5,0.75,,,,,,,,11
29,9.979166666666666,10.5,0.8228392689707916,8.374479166666667,11.542187499999999,6.5,12.5,10.541666666666666,10.75,0.8840969491288484,8.936979166666667,12.230208333333332,8.25,13.5,-0.5625,-0.5,0.18870386469472386,-0.9380208333333329,-0.22916666666666666,-1.0,0.0,,,,,,,,11
30,4.5625,4.0,0.3984941082975081,3.8536458333333337,5.333333333333333,3.5,5.25,3.6458333333333335,3.0,0.38598543031500426,2.9375,4.458333333333333,2.5,5.0,0.9166666666666666,1.0,0.19658927487319622,0.5416666666666666,1.2708333333333333,0.0,1.5,,,,,,,,11
31,9.041666666666666,8.25,0.5897038272427392,7.9578125,10.166666666666666,6.5,11.0,8.979166666666666,6.5,0.999764087510813,7.166145833333334,10.854166666666666,5.5,11.0,0.0625,1.0,0.6336806589570427,-1.2296874999999996,1.1666666666666667,0.25,1.5,,,,,,,,11
32,12.770833333333334,12.0,0.6197088834618606,11.583333333333334,13.979166666666666,10.0,15.0,13.458333333333334,11.0,1.11312845246666,11.374479166666667,15.458854166666667,9.25,15.5,-0.6875,0.5,0.7031325482686622,-2.063020833333333,0.5833333333333334,0.0,1.0,,,,,,,,11
33,13.145833333333334,12.0,0.6712787701082671,11.9375,14.479166666666666,10.75,14.0,13.583333333333334,11.0,1.1207313002423889,11.458333333333334,15.750520833333333,9.5,16.0,-0.4375,0.5,0.5907748688393692,-1.6666666666666667,0.5625,0.0,1.25,,,,,,,,11
34,22.020833333333332,22.0,0.28149311821759476,21.479166666666668,22.583333333333332,21.5,22.5,21.8125,22.0,0.4860485639539933,20.853645833333335,22.791666666666668,21.5,22.5,0.20833333333333334,0.0,0.4603053754273819,-0.6041666666666666,1.1666666666666667,0.0,0.0,,,,,,,,11
